row,rep,plot,trt,tree,tcsa.cm,ltr.class
1,1,1,red,10,16.27,3
1,1,1,red,11,16.05,3
1,1,1,red,12,11.84,1
1,2,2,blue,16,15.15,2
1,2,2,blue,17,17.2,3
1,2,2,blue,18,21.93,5
1,3,3,red,26,12.04,1
1,3,3,red,27,14.08,2
1,3,3,red,28,19.12,4
1,4,4,or/black,33,20.63,5
1,4,4,or/black,34,15.82,3
1,4,4,or/black,35,15.38,2
1,5,5,green,36,17.43,3
1,5,5,green,37,20.12,5
1,5,5,green,38,12.43,1
1,1,6,orange,43,12.24,1
1,1,6,orange,44,17.67,3
1,1,6,orange,45,14.08,2
1,2,7,blue,49,15.38,2
1,2,7,blue,50,19.62,4
1,2,7,blue,51,16.96,3
1,3,8,or/black,67,12.84,1
1,3,8,or/black,68,13.87,2
1,3,8,or/black,69,11.65,1
1,4,9,or/black,74,19.87,4
1,4,9,or/black,75,17.43,3
1,4,9,or/black,76,19.37,4
1,5,10,red,98,16.05,3
1,5,10,red,99,12.43,1
1,5,10,red,100,16.96,3
1,1,11,or/black,104,12.84,1
1,1,11,or/black,105,14.08,2
1,1,11,or/black,106,13.87,2
1,2,12,green,110,17.9,4
1,2,12,green,111,16.96,3
1,2,12,green,112,14.5,2
1,3,13,or/black,117,15.82,3
1,3,13,or/black,118,13.45,1
1,3,13,or/black,119,16.73,3
1,4,14,pink,138,16.5,3
1,4,14,pink,139,13.66,1
1,4,14,pink,140,13.24,1
1,5,15,pink,141,13.45,1
1,5,15,pink,142,14.5,2
1,5,15,pink,143,18.14,4
1,1,16,red,146,13.04,1
1,1,16,red,147,14.5,2
1,1,16,red,148,12.84,1
2,2,17,red,4,18.39,4
2,2,17,red,5,17.2,3
2,2,17,red,6,14.5,2
2,3,18,orange,17,21.4,5
2,3,18,orange,18,15.6,2
2,3,18,orange,19,13.45,1
2,4,19,blue,20,12.63,1
2,4,19,blue,21,17.43,3
2,4,19,blue,22,18.14,4
2,5,20,orange,23,15.15,2
2,5,20,orange,24,18.14,4
2,5,20,orange,25,15.82,3
2,1,21,pink,30,18.39,4
2,1,21,pink,31,13.24,1
2,1,21,pink,32,15.6,2
2,2,22,pink,53,16.73,3
2,2,22,pink,54,14.72,2
2,2,22,pink,55,21.66,5
2,3,23,green,56,18.63,4
2,3,23,green,57,17.2,3
2,3,23,green,58,15.82,3
2,4,24,green,61,14.08,2
2,4,24,green,62,13.04,1
2,4,24,green,63,16.73,3
2,1,26,blue,72,14.08,2
2,1,26,blue,73,13.87,2
2,1,26,blue,74,14.29,2
2,2,27,pink,103,15.38,2
2,2,27,pink,104,19.62,4
2,2,27,pink,105,14.08,2
2,3,28,orange,113,17.43,3
2,3,28,orange,114,21.93,5
2,3,28,orange,115,17.9,4
2,4,29,green,124,20.88,5
2,4,29,green,125,21.14,5
2,4,29,green,126,18.14,4
2,5,30,orange,134,12.04,1
2,5,30,orange,135,14.5,2
2,5,30,orange,136,14.72,2
2,5,25,blue,137,12.24,1
2,5,25,blue,138,19.12,4
2,5,25,blue,139,14.29,2
