row,tree,circ.cm
1,3,15.1
1,7,12.7
1,8,11.6
1,9,16.6
1,10,14.3
1,11,14.2
1,12,12.2
1,13,12.6
1,14,11.8
1,15,18.3
1,16,13.8
1,17,14.7
1,18,16.6
1,25,16.8
1,26,12.3
1,27,13.3
1,28,15.5
1,33,16.1
1,34,14.1
1,35,13.9
1,36,14.8
1,37,15.9
1,38,12.5
1,42,17.3
1,43,12.4
1,44,14.9
1,45,13.3
1,46,17.3
1,47,14.4
1,48,17
1,49,13.9
1,50,15.7
1,51,14.6
1,52,17.9
1,53,11.5
1,55,16.4
1,56,17
1,57,15.4
1,58,15.2
1,65,12.4
1,66,11.5
1,67,12.7
1,68,13.2
1,69,12.1
1,74,15.8
1,75,14.8
1,76,15.6
1,77,14.6
1,79,14.1
1,80,14.7
1,84,12.8
1,85,11.1
1,86,11.5
1,87,13.3
1,98,14.2
1,99,12.5
1,100,14.6
1,104,12.7
1,105,13.3
1,106,13.2
1,110,15
1,111,14.6
1,112,13.5
1,117,14.1
1,118,13
1,119,14.5
1,131,12.8
1,132,14.1
1,133,11
1,138,14.4
1,139,13.1
1,140,12.9
1,141,13
1,142,13.5
1,143,15.1
1,144,12.6
1,145,15.1
1,146,12.8
1,147,13.5
1,148,12.7
1,149,17.4
1,150,13
2,4,15.2
2,5,14.7
2,6,13.5
2,16,17
2,17,16.4
2,18,14
2,19,13
2,20,12.6
2,21,14.8
2,22,15.1
2,23,13.8
2,24,15.1
2,25,14.1
2,29,13
2,30,15.2
2,31,12.9
2,32,14
2,33,16.6
2,43,14.4
2,44,15.9
2,45,11.2
2,46,16.2
2,47,14.9
2,48,11.6
2,49,14.1
2,50,15.4
2,52,18.1
2,53,14.5
2,54,13.6
2,55,16.5
2,56,15.3
2,57,14.7
2,58,14.1
2,59,14.2
2,61,13.3
2,62,12.8
2,63,14.5
2,64,11.8
2,67,13
2,68,12.1
2,69,13
2,70,17.2
2,71,12.6
2,72,13.3
2,73,13.2
2,74,13.4
2,89,13.9
2,90,16.7
2,91,12.2
2,103,13.9
2,104,15.7
2,105,13.3
2,109,17
2,110,14
2,111,11.9
2,112,13.1
2,113,14.8
2,114,16.6
2,115,15
2,116,12.7
2,117,16.5
2,118,17
2,123,12.6
2,124,16.2
2,125,16.3
2,126,15.1
2,127,12.9
2,128,13.6
2,133,14
2,134,12.3
2,135,13.5
2,136,13.6
2,137,12.4
2,138,15.5
2,139,13.4
2,145,11.3
2,146,15.7
2,147,12
2,148,14.1
